l,/,1,0,0
k,g,/,1,0,0
k,g,/,h
s,f,c
25.646410213867465,21.696863040931873,2.686278281258232,0.6246023822843928
25.702831037808107,21.74459505798566,2.842329211150982,0.6257082306619317
25.76084584481927,21.7936755847171,2.999224878087258,0.6268373510942155
25.820445938137052,21.844097263663944,3.1569921521533364,0.6279894218682419
25.88162297860945,21.895853039903592,3.315657746042543,0.629164127362749
25.944368925486195,21.94893611096132,3.4752482175688746,0.6303611566684051
26.008675991972584,22.003339889208807,3.6357899721692633,0.6315802025688998
25.344317412441242,21.441292530925292,3.69096535710928,0.6150987660613236
25.47122756650728,21.54865852126516,3.858236001902712,0.6178146525179942
25.597784736915788,21.655725887430755,4.02693379001986,0.620504418296405
25.724024884083022,21.762525051934237,4.1970584028730284,0.6231687957673695
25.849982558956473,21.869085244877176,4.3686101239171276,0.6258084848774745
25.975690924037835,21.97543452173601,4.541589801158772,0.6284241535987115
26.101181774136023,22.081599780919074,4.715998810353428,0.6310164383809151
26.226485556240373,22.187606780579355,4.8918390187658245,0.6335859445920449
26.351631388030018,22.293480154273393,5.069112749364542,0.6361332469344708
26.47664707462411,22.399243425131996,5.247822745316634,0.63865888982764
25.426007685797668,21.510402502184828,5.1881042225507645,0.6128296897650003
25.58953112767283,21.648743334011215,5.370950131914206,0.6162683779871454
25.753069120492537,21.787096475936686,5.555709601363849,0.6196875746030951
25.916639943553797,21.92547739224651,5.742386936064557,0.6230875324668278
