v_init,gear,accel,time
9.859999999999971,2.315,-0.36666666666666664,0.1
9.823333333333304,2.315,-0.36666666666666664,0.1
9.786666666666637,2.315,-0.36666666666666664,0.1
9.74999999999997,2.315,-0.36666666666666664,0.1
9.713333333333303,2.315,-0.36666666666666664,0.1
9.676666666666636,2.315,-0.36666666666666664,0.1
9.639999999999969,2.315,-0.36666666666666664,0.1
9.603333333333302,2.315,-0.36666666666666664,0.1
9.566666666666634,2.315,-0.36666666666666664,0.1
9.529999999999967,2.315,-0.36666666666666664,0.1
9.4933333333333,2.315,-0.36666666666666664,0.1
9.456666666666633,2.315,-0.36666666666666664,0.1
9.419999999999966,2.315,-0.36666666666666664,0.1
9.383333333333299,2.315,-0.36666666666666664,0.1
9.346666666666632,2.315,-0.36666666666666664,0.1
9.309999999999965,2.315,-0.36666666666666664,0.1
9.273333333333298,2.315,-0.36666666666666664,0.1
9.23666666666663,2.315,-0.36666666666666664,0.1
9.199999999999964,2.315,-0.36666666666666664,0.1
9.163333333333297,2.315,-0.36666666666666664,0.1
9.12666666666663,2.315,-0.36666666666666664,0.1
9.089999999999963,2.315,-0.36666666666666664,0.1
9.053333333333295,2.315,-0.36666666666666664,0.1
9.016666666666628,2.315,-0.36666666666666664,0.1
8.979999999999961,2.315,-0.36666666666666664,0.1
8.943333333333294,2.315,-0.36666666666666664,0.1
8.906666666666627,2.315,-0.36666666666666664,0.1
8.86999999999996,2.315,-0.36666666666666664,0.1
8.833333333333293,2.315,-0.36666666666666664,0.1
8.796666666666626,2.315,-0.36666666666666664,0.1
8.759999999999959,2.315,-0.36666666666666664,0.1
8.723333333333292,2.315,-0.36666666666666664,0.1
8.686666666666625,2.315,-0.36666666666666664,0.1
8.649999999999958,2.315,-0.36666666666666664,0.1
8.61333333333329,2.315,-0.36666666666666664,0.1
8.576666666666624,2.315,-0.36666666666666664,0.1
8.539999999999957,2.315,-0.36666666666666664,0.1
8.50333333333329,2.315,-0.36666666666666664,0.1
8.466666666666622,2.315,-0.36666666666666664,0.1
8.429999999999955,2.315,-0.36666666666666664,0.1
8.393333333333288,2.315,-0.36666666666666664,0.1
